Symbol,Name,ISIN,exchange
RELIANCE,Reliance Industries Ltd,INE002A01018,BSE
PATHEJA-B,Patheja Forgings & Auto Parts Manufacturers Ltd,-,BSE
PILITA,Pil Italica Lifestyle Ltd,INE600A01035,BSE
PENTFOR-B,Pentafour Products Ltd,-,BSE
PENTAGRAPH,Pentamedia Graphics Ltd,INE202A01022,BSE
RAYMOND,Raymond Ltd,INE301A01014,BSE
PIDILITIND,Pidilite Industries Ltd,INE318A01026,BSE
PITICEM-B,Pittie Cements & Industries Ltd,NA          ,BSE
PIXTRANS,Pix Transmissions Ltd,INE751B01018,BSE
PRMRVNY-B,Premier Vinyl Flooring Ltd,NA          ,BSE
BIRLACORPN,Birla Corporation Ltd,INE340A01012,BSE
SURYAROSNI,Surya Roshni Ltd,INE335A01020,BSE
PRIMESECU,Prime Securities Ltd,INE032B01021,BSE
PRSMJOHNSN,Prism Johnson Ltd,INE010A01011,BSE
RAIN,Rain Industries Ltd,INE855B01025,BSE
ITBHPDM,ITC Bhadrachalam Paperboards Ltd,INE076A01012,BSE
PRUDCAP-BDM,Prudential Capital Markets Ltd,NA          ,BSE
PRUDMOULI,Prudential Sugar Corporation Ltd,INE024D01016,BSE
AMJLAND,AMJ Land Holdings Ltd,INE606A01024,BSE
PUNJABTRAC,Punjab Tractors Ltd,INE170A01013,BSE
PPOWER-,PPOWER-,NA          ,BSE
PUNJCOMMU,Punjab Communications Ltd-$,INE609A01010,BSE
PUNWRDM,Punjab Wireless Systems Ltd,INE181A01010,BSE
QLTYSTL,Quality Steel & Forgings Ltd,NA          ,BSE
RASIC,RASIC,INE231A01013,BSE
RSWM,RSWM Ltd,INE611A01016,BSE
RAJPOTU,Rajasthan Polyvin Tubes Ltd,NA          ,BSE
RAJTOOL,Rajasthan Tools Ltd,NA          ,BSE
RAJNSTL-B,Rajinder Steels Tubes Ltd,NA          ,BSE
RAJSREESUG,Rajshree Sugars & Chemicals Ltd,INE562B01019,BSE
RALLIS,Rallis India Ltd,INE613A01020,BSE
RAMANEWS,Shree Rama Newsprint Ltd,INE278B01020,BSE
RAMAPPR-B,Rama Paper Mills Ltd,INE425E01013,BSE
RAMAPETRO,Rama Petrochemicals Ltd,INE783A01013,BSE
RANBAXY,Ranbaxy Laboratories Ltd,INE015A01028,BSE
RAPICUT,Rapicut Carbides Ltd,INE350D01015,BSE
RASPRO,Ras Propack Lamipack Ltd,INE279B01028,BSE
RECRON,Recron Synthetics Ltd,INE616A01023,BSE
REVAP,Real Value Appliances Ltd,INE980C01011,BSE
REPETDM,Reliance Petroleum Ltd,INE014A01013,BSE
WELSPLSOL,Welspun Specialty Solutions Ltd,INE731F01037,BSE
ROLTA,Rolta India Ltd,INE293A01013,BSE
RUBFILA,Rubfila International Ltd,INE642C01025,BSE
PATANJALI,Patanjali Foods Ltd,INE619A01035,BSE
RPGTRANS,RPG Transmission Ltd,INE621A01015,BSE
SALORAINTL,Salora International Ltd,INE924A01013,BSE
SAMTELIN,Samtel India Ltd-$,INE538C01017,BSE
SAMTEL,Samtel Color Ltd,INE381A01016,BSE
CLARIANT,Clariant India Ltd,INE221A01014,BSE
SANAS,Sandvik Asia Ltd,INE624A01019,BSE
SANGHIPOLY,Sanghi Polyesters Ltd,INE146A01013,BSE
SATYAM,Satyam Computer Services Ltd,INE275A01028,BSE
SHREEJIPHOS,Shreeji Phosphate Ltd,INE157C01016,BSE
JINDALSAW,Jindal Saw Ltd,INE324A01032,BSE
SBIHOMEFIN,SBI Home Finance Ltd,INE627A01012,BSE
JKLAKSHMI,JK Lakshmi Cement Ltd,INE786A01032,BSE
SBIMGNE-B,SBIMGNE-B,-,BSE
BRABOURNE,Brabourne Enterprises Ltd,INE629A01018,BSE
SHAMKNSPIN,Shamken Spinners Ltd,INE626B01012,BSE
SHREECEM,Shree Cement Ltd,INE070A01015,BSE
SKPMIL,Shree Krishna Paper Mills & Industries Ltd,INE970C01012,BSE
SILVERLINE,Silverline Technologies Ltd,INE368A01021,BSE
RELINFRA,Reliance Infrastructure Ltd,INE036A01016,BSE
SMDYECH,SM Dyechem Ltd,INE620A01025,BSE
SOLPHR--Z,SOL Pharmaceuticals Ltd,-,BSE
SOLCT,Solid Carbide Tools Ltd,INE161C01026,BSE
SOUTHNHE,Southern Herbals Ltd,INE001C01016,BSE
TASSLDM,Tata SSL Ltd,INE675A01011,BSE
HENKELSPIC,Henkel Spic India Ltd,INE902A01019,BSE
GECAP,GE Capital Transportation Financial Services Ltd,INE698D01017,BSE
STEELCO,Steelco Gujarat Ltd,INE629B01024,BSE
TATAPOWER,Tata Power Company Ltd,INE245A01021,BSE
SPMLINFRA,SPML Infra Ltd,INE937A01023,BSE
SUNDRMFAST,Sundram Fasteners Ltd,INE387A01021,BSE
SUNFLAG,Sunflag Iron & Steel Company Ltd,INE947A01014,BSE
SPLPETRO,Supreme Petrochem Ltd,INE663A01033,BSE
SURYAGRO,Surya Agroils Ltd,INE780B01017,BSE
SWARAJENG,Swaraj Engines Ltd,INE277A01016,BSE
TATAELXSI,Tata Elxsi Ltd,INE670A01012,BSE
TAHYDDM,Tata Hydro-Electric Power Supply Co Ltd,INE246A01011,BSE
ACC,ACC Ltd,INE012A01025,BSE
THERMAX,Thermax Ltd,INE152A01029,BSE
TIRUMALCHM,Thirumalai Chemicals Ltd,INE338A01024,BSE
THOMASCOOK,Thomas Cook (India) Ltd,INE332A01027,BSE
TIMEX,Timex Group India Ltd-$,INE064A01026,BSE
TISCSPN-B,TISCSPN-B,NA          ,BSE
TITAGRST,Titagarh Steels Ltd,INE824A01023,BSE
TITANAL,Titan Alloys Ltd,NA          ,BSE
TOKYOPLAST,Tokyo Plast International Ltd,INE932C01012,BSE
TOLANDM,Tolani Bulk Carriers Ltd,INE051C01011,BSE
TORNTPHARM,Torrent Pharmaceuticals Ltd,INE685A01028,BSE
TPINDIA,TPI India Ltd,INE578C01021,BSE
TRANSCHEM,Transchem Ltd-$,INE019B01010,BSE
TVSEL,TVS Electronics Ltd,INE380A01018,BSE
TVSSZDM,TVSSZDM,INE106A01017,BSE
AMBUJACEM,Ambuja Cements Ltd,INE079A01024,BSE
UTLINDS,UTL Industries Ltd,INE184E01024,BSE
UNIFLEX,Uniflex Cables Ltd-$,INE146B01011,BSE
UNIPLAS,Uniplas India Ltd,NA          ,BSE
UNIENTER,Uniphos Enterprises Ltd,INE037A01022,BSE
UNITEDWESTB,United Western Bank Ltd,INE165A01013,BSE
USHAINDIA,Usha India Ltd,INE068A01019,BSE
USHAISPAT,Usha Ispat Ltd,INE150A01015,BSE
UTIGN,UTIGN,INF189A01079,BSE
MSTGN,MSTGN,INF189A01053,BSE
UMISPST,Umi Special Steel Ltd,NA          ,BSE
UTI2000-B,Unit Growth Scheme 2000,NA          ,BSE
UTI5000-B,Unit Growth Scheme 5000,NA          ,BSE
VAJRABE,Vajra Bearings Ltd,INE978B01017,BSE
VHL,Vardhman Holdings Ltd,INE701A01023,BSE
HINDALCO,Hindalco Industries Ltd,INE038A01020,BSE
VIRALFL-BDM,Viral Filaments Ltd,NA          ,BSE
WARTSILA,Wartsila India Ltd,INE057A01012,BSE
WSTCSTPAPR,West Coast Paper Mills Ltd,INE976A01021,BSE
INDAL,Indian Aluminium Company Ltd,INE249A01015,BSE
CAROL,Carol Info Services Ltd,INE198A01014,BSE
YOGIPHA,Yogi Pharmacy Ltd,NA          ,BSE
HINDC,Hindusthan Development Corporation Ltd,INE550A01016,BSE
HOCL,Hindustan Organic Chemicals Ltd,INE048A01011,BSE
MPILCORPL,MPIL Corporation Ltd,INE844C01027,BSE
MDRNSUT-B,Modern Denim Ltd,INE01N301019,BSE
NEPCAGRO,NEPC Agro Foods Ltd,INE587A01018,BSE
PAAMPHR-B,Paam Pharmaceuticals Ltd,NA          ,BSE
PASUPTAC,Pasupati Acrylon Ltd,INE818B01023,BSE
PNTASOL-B,Pentafour Solec Technology Ltd,NA          ,BSE
KORE,Kore Foods Ltd,INE601A01017,BSE
PGHH,Procter & Gamble Hygiene and Health Care Ltd,INE179A01014,BSE
